IR0_cam,IR1_cam,IR2_cam,IR3_cam,IR0_meas,IR1_meas,IR2_meas,IR3_meas
14.33,0.49,15.15,15.15,368,965,348,345
14.41,0.26,14.41,14.41,370,969,345,344
14.51,0.29,14.51,14.51,370,969,345,344
14.5,0.29,14.5,14.5,370,969,345,344
14.48,0.28,14.48,14.48,370.5,969,344.5,344
14.5,0.29,14.5,14.5,370,969,344,343
14.5,0.29,14.5,14.5,369,969,344,342
16.61,0.31,12.54,14.57,370,969,345,344
16.47,2.3,12.42,12.42,322.5,962,400.5,362.5
16.45,2.29,12.4,12.4,322,962,400,362
14.43,0.27,14.43,14.43,349.5,965,356,346.5
14.43,0.27,14.43,14.43,349,965,356,346
14.43,0.27,14.43,14.43,369,969,341,340.5
14.37,0.25,14.37,14.37,369,969,341,340
14.37,0.25,14.37,14.37,368.5,969,340,339
14.41,0.26,14.41,14.41,367,969,338,336
14.43,0.27,14.43,14.43,367,969,338,336
14.43,0.27,14.43,14.43,367,969,337,335.5
14.37,0.25,14.37,14.37,367,969,338,336
14.37,0.25,14.37,14.37,366.5,969,337,334.5
14.37,0.25,14.37,14.37,366,969,337,334
14.35,0.25,14.35,14.35,365,969,336,333
14.37,0.25,14.37,14.37,364,969,335,332
16.38,0.25,12.35,14.37,335,964,358,340
16.32,0.23,12.29,14.3,335,964,358,339
18.28,2.23,10.25,12.26,298,961,433,357.5
18.33,2.24,10.28,12.29,298,961,432,357
4.19,1.71,16.72,19.22,298,961,432,357
3.92,1.83,17.08,19.62,639,958,310,234
7.07,4.41,17.18,17.18,639,958,309,233
6.76,4.58,14.96,17.55,385.5,946,338,264
7.07,4.41,14.63,17.18,385,946,337,263
9.64,7.33,15.2,15.2,310,701.5,379,310
9.64,7.33,15.2,15.2,310,701,379,310
9.89,7.17,14.96,14.96,364.5,897,346,266.5
9.52,7.4,15.32,15.32,364,897,345,266
3.32,2.17,18.1,20.75,697,957,303,227
3.39,2.12,17.96,20.6,696.5,957,302.5,226.5
3.62,1.98,17.55,20.15,719,958,301.5,226
3.39,2.12,17.96,20.6,718.5,957,301,224.5
2.68,2.69,19.66,22.49,719,957,301,225
3.11,2.31,18.54,21.24,839,955,294,222.5
3.04,2.37,18.7,21.43,841,955,294,222
2.86,2.52,19.17,21.95,840.5,955,293,221
2.75,2.62,19.47,22.28,865,955,291,217
2.68,2.69,19.66,22.49,863,955,291,220
2.75,2.62,19.47,22.28,863,955,292,220
2.68,2.69,19.66,22.49,862,955,290,218.5
2.75,2.62,19.47,22.28,862,955,290,218
2.75,2.62,19.47,22.28,861.5,955,289.5,217
2.75,2.62,19.47,22.28,861,955,289,216
2.59,2.79,19.96,22.82,861,955,289,216
2.86,2.52,19.17,21.95,883,954,287,215
5.74,5.3,19.17,19.17,883,954,287,215
6.02,5.07,15.93,18.65,447,833,310,217
8.86,7.88,16.08,16.08,447,833,310,217
11.16,11.18,13.99,14.01,321,525,328,265.5
10.7,11.69,13.45,14.6,321,525,327,265
16.03,2.93,14.17,13.85,294.5,732,375,255.5
15.21,3.54,9.7,15.21,268,939,423,245
17.12,3.37,10.59,14.82,257,945,428,247
17.12,3.37,10.59,14.82,256,945,427,246
19.41,3.37,10.59,14.82,248,949,437,250
19.67,3.46,10.07,15.04,243,950,448.5,251.5
19.41,3.37,10.59,14.82,239,950.5,461,253
14.21,2.2,14.21,12.21,239,950,461,253
11.72,3.19,18.93,14.43,366,960,273,237.5
12.48,3.1,18.67,14.22,366,960,272,237
11.72,3.19,18.93,14.43,367,960,272,239
9.84,3.51,19.8,15.15,367,960,272,239
9.3,3.63,20.14,15.42,370,959,266.5,230
9.84,3.51,19.8,15.15,370,959,266,230
9.74,3.53,19.86,15.19,368,959,266,228.5
10.88,0.63,17.78,15.63,368,959,266,228
12.72,0.37,16.84,14.78,414,966,275,313
12.63,0.34,16.73,14.68,413,966,275,312
12.72,2.43,16.84,12.72,379,963,284,319
9.25,0.74,18.19,16.01,379,963,283,319
8.55,0.81,18.42,16.22,399,962,268,256.5
10.01,0.69,17.98,15.82,399,962,268,256
14.24,2.93,16.01,13.83,341,958,288,307
14.24,2.93,16.01,13.83,341,958,288,307
4.82,6.36,18.1,18.1,967,881,235,221
1.38,5.13,18.13,15.74,967,881,235,221
1.3,5.43,17.86,15.49,967,881.5,235,220
3.66,9.18,15.49,15.49,967,882,235,221
5.9,13.44,12.93,15.27,786,437,253.5,227
3.69,9.06,15.56,15.56,959,612.5,240,223
3.56,9.59,15.27,15.27,959,610.5,240,223
5.9,13.44,12.93,15.27,959,611,240,223
5.81,13.88,12.78,15.1,628,359,277,232
9.3,3.63,20.14,15.42,628,359,277,232
10.21,0.2,18.21,14.21,449,967,258,287
10.2,0.2,18.2,14.2,449,967,258,287
12.2,2.2,16.2,12.2,372,963,273,296
5.02,13.13,12.03,6.09,722,380,240,440
4.89,10.24,15.31,6.26,914.5,442,218.5,428
4.89,10.24,15.31,6.26,919,444,218,429
4.89,12.91,12.29,6.26,726.5,380.5,240,432.5
4.89,12.91,12.29,6.26,727,380,240,433
0.2,4.21,28.22,10.21,852.5,658.5,217,427
0.2,4.21,28.22,10.21,978,937,194,420
0.21,4.21,28.25,10.22,978,937,194,420
0.21,4.21,28.25,10.22,978,937,194,420
0.21,4.21,28.25,10.22,978,937,194,420.5
0.21,4.21,28.25,10.22,978,937,194,420
0.21,4.21,28.25,10.22,978,937,194,420
2.2,4.21,26.22,10.21,967,929,196,445
2.2,4.21,26.22,10.21,967.5,929,196,445
4.21,6.22,24.24,8.22,967,929,195,445
4.2,6.2,24.2,8.2,945,849,203,497
3.95,6.38,22.21,8.21,945,849,203,497
4.15,7.65,16.59,1.66,866.5,430.5,225,956
4.15,7.65,16.59,1.66,868,430,225,956
4.14,7.45,16.78,1.73,867,430,225,956
4.15,7.65,16.59,1.66,875.5,441,224,955.5
4.07,7.87,16.4,1.6,874,441,224,955
3.81,8.65,15.82,1.41,908,410,228,959
