IR0_meas,IR1_meas,IR2_meas,IR3_meas,IR0_cam,IR1_cam,IR2_cam,IR3_cam
174,614,942,549,23.36,9.28,1.6,3.21
174,614,942,549,23.82,9.51,1.7,3.02
174,614,943,550,23.36,9.28,1.6,3.21
174,614,943,550,23.82,9.51,1.7,3.02
174,614,943,550,23.49,9.34,1.63,3.15
174,614,943,550,23.36,9.28,1.6,3.21
173,611,942,557,23.69,9.44,1.67,3.07
173,611,942,556,23.82,9.51,1.7,3.02
172,610,942,556,23.36,9.28,1.6,3.21
171,610,942,555,23.98,9.59,1.74,2.95
171,610,942,555,23.36,9.28,1.6,3.21
172,611,942,556,23.23,9.22,1.57,3.27
172,610,942,556,22.9,9.05,1.5,3.43
172,610,942,556,24.49,9.84,1.86,2.77
172,610,942,556,22.08,9.28,2.88,4.81
172,610,942,556,22.52,8.21,3.01,4.58
172,610,942,556,21.22,8.21,4.31,6.14
191,770,937,332,20.8,8,4.16,6.41
191,771,937,332,20.8,8,4.16,6.41
191,771,937,332,21.37,8.28,4.36,6.06
191,770,937,332,21.83,8.51,4.52,5.8
191,770,937,332,21.53,7.74,2.72,5.14
191,770,937,332,22.67,9.59,3.05,4.51
191,770,937,332,23.98,9.59,1.74,2.95
191,770,937,332,23.82,9.51,1.7,3.02
171,607,942,567,23.69,9.44,1.67,3.07
171,607,942,567,23.82,9.51,1.7,3.02
171,607,942,567,23.82,9.51,1.7,3.02
171,607,942,567,23.36,9.28,1.6,3.21
171,607,942,567,23.23,9.22,1.57,3.27
171,607,942,567,22.79,8.99,1.47,3.49
171,607,942,567,23.36,9.28,1.6,3.21
177,649,944,480,22.47,8.84,1.4,3.66
177,650,944,480,22.9,9.05,1.5,3.43
177,650,944,480,22.9,9.05,1.5,3.43
177,650,944,480,22.79,8.99,1.47,3.49
177,650,944,480,22.79,8.99,1.47,3.49
177,650,944,480,23.49,9.34,1.63,3.15
177,650,944,480,23.69,9.44,1.67,3.07
177,650,944,480,22.79,8.99,1.47,3.49
177,649,944,480,22.79,8.99,1.47,3.49
177,650,944,480,22.79,8.99,1.47,3.49
177,650,944,480,23.36,9.28,1.6,3.21
177,650,944,480,22.79,8.99,1.47,3.49
177,650,944,480,22.9,9.05,1.5,3.43
177,650,944,480,22.9,9.05,1.5,3.43
177,650,944,480,22.38,8.79,1.38,3.72
178,659,944,463,23.36,9.28,1.6,3.21
179,659,944,463,22.9,9.05,1.5,3.43
178,658,944,463,22.79,8.99,1.47,3.49
178,659,944,463,22.79,8.99,1.47,3.49
179,659,944,463,22.79,8.99,1.47,3.49
179,659,944,463,22.9,9.05,1.5,3.43
178,658,944,464,22.47,8.84,1.4,3.66
178,658,944,464,22.9,9.05,1.5,3.43
179,658,944,464,22.9,9.05,1.5,3.43
179,658,944,464,23.23,9.22,1.57,3.27
178,659,944,464,22.79,8.99,1.47,3.49
178,659,944,464,22.47,8.84,1.4,3.66
178,659,944,464,22.47,8.84,1.4,3.66
178,659,944,464,22.9,9.05,1.5,3.43
180,667,944,447,22.38,8.79,1.38,3.72
180,667,944,447,22.9,9.05,1.5,3.43
180,667,944,447,22.47,8.84,1.4,3.66
180,667,944,447,22.38,8.79,1.38,3.72
180,667,944,447,20.85,7.41,2.53,5.65
192,774,940,324,21.14,7.55,2.61,5.42
192,771,940,326,22.08,8,2.88,4.81
192,771,940,326,21.64,7.79,2.75,5.07
192,771,940,326,21.14,7.55,2.61,5.42
192,771,940,326,24.44,10.51,3.55,3.82
192,771,940,326,29.87,13.86,3.68,1.39
192,771,940,326,29.95,12.58,3.1,1.66
192,771,940,326,30.67,12.93,3.26,1.57
141,425,937,942,30.32,12.76,3.18,1.61
141,425,937,942,30.14,13.59,3.56,1.44
141,425,937,942,30.61,13.17,3.37,1.52
141,425,937,942,30.34,13.4,3.47,1.48
141,425,937,942,30.34,13.4,3.47,1.48
141,425,937,942,30.61,13.17,3.37,1.52
141,425,937,942,30.34,13.4,3.47,1.48
141,425,937,942,30.67,12.93,3.26,1.57
141,425,937,942,30.05,13.68,3.6,1.42
141,425,937,942,30.34,13.4,3.47,1.48
141,425,937,942,30.61,13.17,3.37,1.52
141,425,937,942,30.61,13.17,3.37,1.52
141,426,937,942,30.34,13.4,3.47,1.48
141,426,937,942,30.34,13.4,3.47,1.48
142,426,937,942,29.87,13.86,3.68,1.39
141,426,937,942,30.34,13.4,3.47,1.48
141,426,937,942,30.34,13.4,3.47,1.48
141,426,937,942,30.34,13.4,3.47,1.48
141,426,937,942,30.34,13.4,3.47,1.48
141,424,937,942,30.14,13.59,3.56,1.44
141,424,936,942,30.61,13.17,3.37,1.52
141,424,937,942,30.14,13.59,3.56,1.44
141,424,937,942,30.32,12.76,3.18,1.61
141,424,937,942,30.61,13.17,3.37,1.52
141,424,937,942,30.34,13.4,3.47,1.48
141,424,937,942,30.61,13.17,3.37,1.52
141,424,937,942,30.34,13.4,3.47,1.48
141,424,937,942,30.34,13.4,3.47,1.48
141,424,937,942,30.05,13.68,3.6,1.42
141,424,937,942,30.34,13.4,3.47,1.48
141,424,937,942,30.32,12.76,3.18,1.61
141,424,937,942,30.61,13.17,3.37,1.52
141,424,937,942,30.76,12.98,3.28,1.56
141,424,937,942,30.61,13.17,3.37,1.52
142,426,937,942,29.89,12.55,3.08,1.67
